rank,name,handle,followers,er,topics
1,Georgina Rodríguez,@georginagio,72M,2.67%,"Books, Lifestyle, Modeling"
2,Sergio Ramos,@sergioramos,67.5M,0.54%,"Sports, Soccer"
3,Gareth Bale,@garethbale11,53M,0.6%,Soccer
4,Andres Iniesta,@andresiniesta8,43.2M,0.17%,"Sports, Soccer"
5,Isco Alarcon Suarez,@iscoalarcon,30.2M,0.12%,Soccer
6,Álvaro Morata,@alvaromorata,22.3M,0.26%,"Sports, family, Journalists, Soccer"
7,Lucas Vázquez,@lucasvazquez91,22.3M,1.4%,"Sports, Soccer"
8,Gerard Piqué,@3gerardpique,21.8M,0.78%,"Entertainment and Music, Soccer"
9,Rafa Nadal,@rafaelnadal,21.3M,1.73%,"Sports, Tennis"
10,Iker Casillas,@ikercasillas,20.9M,0.48%,"Sports, Soccer"
11,Pedri González,@pedri,20.6M,5.72%,Sports
12,Úrsula Corberó,@ursulolita,19.6M,2.14%,"Entertainment and Music, Celebrity, Modeling, Actors"
13,Enrique Iglesias,@enriqueiglesias,18.8M,0.99%,Entertainment and Music
14,Thibaut Courtois,@thibautcourtois,17.4M,1.58%,"Sports, Soccer"
15,Marc ter Stegen,@mterstegen1,17.4M,1.58%,"Sports, Soccer"
16,Jordi Alba,@jordialbaoficial,17.2M,0.57%,"Soccer, Sports"
17,Marco Asensio,@marcoasensio10,15.6M,2%,Soccer
18,David De Gea,@d_degeaofficial,15.5M,0.57%,"Sports, Soccer"
19,Ibai,@ibaillanos,15.3M,2.72%,"Education, Soccer, Actors"
20,Cesc Fàbregas,@cescf4bregas,15M,0.4%,"Sports, Soccer"
21,Daniel Carvajal,@dani.carvajal.2,14.1M,2.1%,"Soccer, Actors"
22,Carles Puyol,@carles5puyol,13.8M,1.67%,"Sports, Soccer"
23,Nacho Fernandez Iglesias,@nachofdez90,13.4M,0.77%,"Soccer, Sports"
24,Xabi Alonso,@xabialonso,13.3M,5.84%,"Soccer, Sports"
25,Ilia Topuria,@iliatopuria,12.9M,4.22%,Sports
26,FC Barcelona B,@fcbarcelonab,11M,0.08%,"Sports, Food and Drink"
27,Pilar Rubio,@pilarrubio,10.9M,0.17%,"Fashion and Accessories, family, Entertainment and Music, Actors"
28,Ansu Fati,@ansufati,10.7M,2.81%,Sports
29,Roberto Carlos,@oficialrc3,10.1M,0.75%,"Entertainment and Music, Sports, Soccer"
30,FC Barcelona La Masia,@fcbmasia,10M,1.02%,"Sports, Personal Finance, Soccer"
31,Álvaro Morte,@alvaromorte,9.8M,0.16%,"Celebrity, Entertainment and Music, Actors"
32,manu rios,@manurios,9.5M,2.55%,"Entertainment and Music, Music, Singer, Dance"
33,Alba Flores,@albafloresoficial,9.4M,0.41%,"Entertainment and Music, Actors"
